                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                 0.5046,                0.34346,                0.99561,                0.80373,                0.70155,                 0.7556,                0.50162,                 1.4406,                 1.1845,                 1.7567,              0.0070498,              0.0070498,              0.0070498
                    151,                0.50098,                 0.3398,                0.99447,                 0.8205,                0.70253,                 0.7589,                0.50238,                 1.4407,                 1.2006,                 1.7581,                0.00703,                0.00703,                0.00703
                    152,                0.49733,                0.33531,                0.98513,                0.82785,                0.69275,                0.75625,                0.50122,                 1.4352,                 1.1985,                 1.7559,              0.0070102,              0.0070102,              0.0070102
                    153,                0.49917,                0.34077,                0.99371,                0.82958,                0.69395,                 0.7522,                0.49779,                 1.4349,                 1.1848,                 1.7593,              0.0069904,              0.0069904,              0.0069904
                    154,                0.49649,                0.34581,                0.99318,                0.83672,                0.69042,                0.75379,                 0.4986,                 1.4297,                 1.1739,                 1.7526,              0.0069706,              0.0069706,              0.0069706
                    155,                0.50243,                0.33836,                0.98849,                0.82819,                 0.7077,                0.76259,                 0.5019,                 1.4276,                 1.1644,                 1.7466,              0.0069508,              0.0069508,              0.0069508
                    156,                0.49488,                0.33434,                0.98841,                0.82166,                0.70744,                0.76111,                0.50943,                 1.4132,                 1.1534,                 1.7285,               0.006931,               0.006931,               0.006931
                    157,                0.49391,                0.33237,                0.98609,                0.81997,                0.70721,                0.76321,                0.51081,                 1.4081,                 1.1388,                 1.7196,              0.0069112,              0.0069112,              0.0069112
                    158,                0.49084,                0.33326,                0.98758,                0.83201,                0.70352,                0.76473,                0.50966,                 1.4089,                  1.125,                 1.7209,              0.0068914,              0.0068914,              0.0068914
                    159,                0.48628,                 0.3299,                0.98465,                 0.8317,                0.70194,                0.76412,                0.51001,                 1.4054,                 1.1337,                 1.7195,              0.0068716,              0.0068716,              0.0068716
                    160,                0.48256,                0.32788,                0.98494,                0.80576,                0.71195,                0.76374,                 0.5116,                 1.4066,                 1.1367,                 1.7189,              0.0068518,              0.0068518,              0.0068518
                    161,                0.49108,                 0.3343,                0.98712,                0.80798,                0.71481,                0.76939,                0.51636,                 1.3995,                 1.1092,                 1.7139,               0.006832,               0.006832,               0.006832
                    162,                0.49121,                0.33009,                0.98899,                0.86376,                0.68499,                0.76935,                0.51526,                 1.3997,                 1.1165,                 1.7119,              0.0068122,              0.0068122,              0.0068122
                    163,                 0.4864,                0.33212,                0.98532,                0.84791,                0.69283,                0.76868,                0.51285,                 1.3967,                 1.1166,                 1.7098,              0.0067924,              0.0067924,              0.0067924
                    164,                0.48978,                0.33128,                0.99053,                0.82507,                0.69705,                0.75864,                0.51043,                 1.3974,                  1.112,                 1.7131,              0.0067726,              0.0067726,              0.0067726
                    165,                0.48548,                0.32909,                 0.9837,                0.81147,                0.71159,                0.76871,                0.51264,                 1.3892,                 1.0909,                 1.7069,              0.0067528,              0.0067528,              0.0067528
                    166,                  0.487,                0.32692,                0.98437,                0.84022,                0.70057,                0.77025,                0.51564,                 1.3889,                  1.097,                 1.7084,               0.006733,               0.006733,               0.006733
                    167,                0.48483,                0.33119,                0.98438,                0.82465,                0.69959,                0.76823,                0.51646,                  1.391,                 1.1012,                 1.7073,              0.0067132,              0.0067132,              0.0067132
                    168,                0.48499,                0.33122,                 0.9866,                0.83932,                0.69323,                0.76524,                0.51629,                  1.388,                  1.107,                 1.7039,              0.0066934,              0.0066934,              0.0066934
                    169,                0.48487,                0.33001,                0.98584,                0.83291,                0.69323,                0.76261,                0.51247,                 1.3889,                  1.119,                  1.706,              0.0066736,              0.0066736,              0.0066736
                    170,                0.48613,                0.33114,                 0.9847,                0.83908,                0.69469,                0.76352,                0.51176,                 1.3904,                  1.139,                 1.7099,              0.0066538,              0.0066538,              0.0066538
                    171,                 0.4759,                0.32266,                 0.9781,                 0.8297,                0.69273,                0.75901,                0.50829,                 1.3906,                 1.1384,                 1.7117,               0.006634,               0.006634,               0.006634
                    172,                0.48426,                 0.3309,                0.98209,                0.84415,                0.68755,                0.76087,                0.50938,                 1.3876,                 1.1309,                 1.7097,              0.0066142,              0.0066142,              0.0066142
                    173,                0.47369,                0.32146,                0.98153,                0.83665,                0.68547,                0.76121,                0.50936,                 1.3839,                 1.1355,                 1.7054,              0.0065944,              0.0065944,              0.0065944
                    174,                0.47383,                0.32042,                0.97776,                0.80004,                0.69567,                0.75971,                0.50871,                  1.382,                 1.1445,                 1.7024,              0.0065746,              0.0065746,              0.0065746
                    175,                0.47704,                0.31976,                0.97964,                0.80808,                0.69273,                0.75818,                0.50873,                 1.3835,                  1.144,                  1.704,              0.0065548,              0.0065548,              0.0065548
                    176,                0.47535,                0.32779,                0.98072,                   0.83,                0.68735,                0.75613,                0.50967,                 1.3907,                 1.1534,                 1.7111,               0.006535,               0.006535,               0.006535
                    177,                0.47354,                0.32329,                0.98134,                0.83205,                0.68199,                0.75386,                0.51002,                 1.3945,                  1.152,                 1.7155,              0.0065152,              0.0065152,              0.0065152
                    178,                0.47238,                0.31917,                0.97662,                0.83259,                0.67585,                0.75059,                0.50945,                 1.4011,                 1.1664,                 1.7212,              0.0064954,              0.0064954,              0.0064954
                    179,                0.46611,                0.31444,                0.97373,                0.82938,                0.68541,                0.74815,                0.50771,                 1.4044,                 1.1713,                 1.7239,              0.0064756,              0.0064756,              0.0064756
                    180,                0.47358,                0.31939,                0.98055,                0.83797,                0.67659,                0.74886,                0.50839,                 1.4048,                  1.178,                 1.7235,              0.0064558,              0.0064558,              0.0064558
                    181,                0.47651,                0.32268,                0.98107,                0.83461,                0.67953,                0.74882,                0.50792,                 1.4101,                 1.1837,                 1.7266,               0.006436,               0.006436,               0.006436
                    182,                0.46969,                0.31469,                0.97876,                0.83047,                0.68149,                0.74788,                0.50621,                  1.416,                 1.1905,                 1.7303,              0.0064162,              0.0064162,              0.0064162
                    183,                0.47256,                0.31777,                0.98076,                0.81836,                0.68051,                 0.7453,                0.50622,                 1.4204,                 1.2005,                 1.7331,              0.0063964,              0.0063964,              0.0063964
                    184,                 0.4662,                0.31784,                0.97429,                0.82108,                0.68189,                0.74483,                0.50373,                 1.4195,                 1.1989,                  1.732,              0.0063766,              0.0063766,              0.0063766
                    185,                0.46693,                0.31772,                0.97501,                0.82168,                0.68247,                0.74633,                0.50596,                 1.4156,                  1.185,                 1.7293,              0.0063568,              0.0063568,              0.0063568
                    186,                0.46739,                0.31683,                0.97484,                0.83532,                0.68247,                0.74856,                0.50831,                 1.4168,                  1.187,                 1.7306,               0.006337,               0.006337,               0.006337
                    187,                0.46601,                 0.3127,                0.97721,                0.82501,                0.68589,                0.75317,                0.50894,                 1.4099,                 1.1767,                 1.7233,              0.0063172,              0.0063172,              0.0063172
                    188,                0.46419,                0.31376,                0.97636,                0.83369,                0.68197,                0.75415,                0.50812,                 1.4083,                 1.1723,                 1.7214,              0.0062974,              0.0062974,              0.0062974
                    189,                0.46373,                0.31359,                0.97277,                0.82568,                0.68687,                0.75423,                0.50905,                 1.4113,                 1.1809,                 1.7244,              0.0062776,              0.0062776,              0.0062776
                    190,                0.46097,                0.31287,                0.97343,                0.82045,                0.69225,                 0.7555,                0.50654,                 1.4126,                 1.1863,                 1.7271,              0.0062578,              0.0062578,              0.0062578
                    191,                0.46575,                0.31311,                0.97618,                0.82273,                0.68896,                0.75429,                0.50638,                  1.412,                 1.1956,                 1.7268,               0.006238,               0.006238,               0.006238
                    192,                0.46202,                0.31332,                0.97566,                0.82498,                0.68637,                0.75359,                 0.5066,                 1.4121,                 1.2041,                 1.7272,              0.0062182,              0.0062182,              0.0062182
                    193,                0.46493,                0.31612,                0.97596,                0.82646,                0.68443,                0.75433,                0.50692,                 1.4114,                 1.2087,                 1.7239,              0.0061984,              0.0061984,              0.0061984
                    194,                0.46144,                0.31319,                 0.9729,                0.82439,                0.68595,                0.75327,                 0.5067,                 1.4119,                 1.2122,                 1.7241,              0.0061786,              0.0061786,              0.0061786
                    195,                0.45848,                 0.3112,                0.97149,                0.81245,                0.68391,                0.74997,                0.50565,                 1.4127,                 1.2183,                 1.7252,              0.0061588,              0.0061588,              0.0061588
                    196,                0.45604,                0.31168,                0.96892,                0.80888,                0.68489,                0.75037,                0.50674,                 1.4132,                 1.2343,                  1.725,               0.006139,               0.006139,               0.006139
                    197,                0.46372,                0.31519,                0.97571,                0.81785,                0.68831,                0.75343,                0.50766,                 1.4158,                 1.2342,                 1.7275,              0.0061192,              0.0061192,              0.0061192
                    198,                0.46082,                0.31486,                0.97587,                0.80606,                0.69365,                0.75393,                0.50694,                 1.4175,                 1.2321,                 1.7281,              0.0060994,              0.0060994,              0.0060994
                    199,                0.45774,                0.31187,                0.96874,                0.80178,                0.69696,                0.75608,                0.50642,                 1.4138,                 1.2268,                 1.7236,              0.0060796,              0.0060796,              0.0060796
                    200,                 0.4538,                0.30859,                0.96993,                0.79979,                0.69909,                0.75952,                0.50751,                 1.4146,                 1.2282,                 1.7244,              0.0060598,              0.0060598,              0.0060598
                    201,                0.45488,                0.30799,                0.97344,                0.79583,                0.70105,                0.75811,                0.50682,                 1.4152,                 1.2314,                 1.7254,                0.00604,                0.00604,                0.00604
                    202,                 0.4602,                0.31257,                0.97639,                0.79388,                0.70399,                0.75714,                0.50724,                 1.4163,                 1.2252,                 1.7276,              0.0060202,              0.0060202,              0.0060202
                    203,                0.45756,                0.30915,                0.97283,                 0.7952,                0.70187,                 0.7556,                 0.5073,                 1.4165,                 1.2189,                 1.7285,              0.0060004,              0.0060004,              0.0060004
                    204,                0.45217,                0.30852,                0.96686,                0.79929,                0.69976,                0.75636,                0.50708,                 1.4143,                 1.2136,                 1.7271,              0.0059806,              0.0059806,              0.0059806
                    205,                0.44554,                0.30443,                0.96676,                0.79645,                0.69471,                0.75408,                0.50745,                 1.4125,                 1.2175,                 1.7253,              0.0059608,              0.0059608,              0.0059608
                    206,                0.44282,                0.30285,                0.96526,                0.79516,                0.69463,                0.75495,                0.50794,                 1.4123,                 1.2148,                 1.7255,               0.005941,               0.005941,               0.005941
                    207,                0.45109,                0.30764,                0.96819,                0.80551,                0.69419,                0.75351,                0.50719,                 1.4136,                 1.2171,                 1.7286,              0.0059212,              0.0059212,              0.0059212
                    208,                0.45414,                0.30815,                0.97028,                0.80843,                0.69228,                0.75295,                0.50814,                 1.4143,                  1.217,                 1.7295,              0.0059014,              0.0059014,              0.0059014
                    209,                0.44846,                0.30647,                0.96925,                0.81157,                0.69168,                0.75389,                0.50848,                 1.4142,                 1.2159,                 1.7302,              0.0058816,              0.0058816,              0.0058816
                    210,                0.44639,                0.30207,                0.96798,                0.81136,                0.68887,                0.75561,                0.50816,                 1.4162,                 1.2175,                 1.7334,              0.0058618,              0.0058618,              0.0058618
                    211,                0.45154,                0.30826,                0.96977,                0.80603,                0.68918,                0.75458,                0.50716,                 1.4193,                 1.2291,                 1.7383,               0.005842,               0.005842,               0.005842
