                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.76102,                0.54534,                 1.1399,                 0.7313,                0.65945,                0.68602,                0.41817,                 1.6766,                 1.2959,                 1.8297,              0.0093466,              0.0093466,              0.0093466
                     35,                0.75463,                0.53118,                 1.1285,                0.78461,                0.65512,                0.71803,                0.43907,                 1.5713,                 1.1838,                 1.7615,              0.0093268,              0.0093268,              0.0093268
                     36,                0.75515,                0.54265,                 1.1302,                0.64169,                0.53401,                0.55498,                0.33655,                 1.7944,                 1.9849,                 1.9933,               0.009307,               0.009307,               0.009307
                     37,                0.73711,                0.51974,                 1.1204,                0.76739,                0.67418,                0.71734,                0.42977,                 1.6084,                 1.0946,                 1.8281,              0.0092872,              0.0092872,              0.0092872
                     38,                0.73244,                0.51441,                 1.1161,                 0.7226,                0.66575,                0.70868,                 0.4346,                 1.5646,                 1.2151,                 1.7899,              0.0092674,              0.0092674,              0.0092674
                     39,                0.72486,                0.52058,                 1.1188,                0.77166,                0.63596,                0.68761,                0.41481,                 1.6362,                 1.2333,                 1.8577,              0.0092476,              0.0092476,              0.0092476
                     40,                0.72042,                0.50622,                 1.1101,                0.68178,                0.64713,                0.65754,                 0.4187,                 1.6145,                 1.3961,                 1.8216,              0.0092278,              0.0092278,              0.0092278
                     41,                0.71818,                0.50455,                 1.1154,                0.76983,                0.72621,                0.77526,                0.45087,                 1.5597,                0.99588,                   1.78,               0.009208,               0.009208,               0.009208
                     42,                0.71696,                0.49946,                 1.1082,                0.81122,                0.67221,                0.73614,                0.45512,                 1.5541,                 1.0832,                 1.7967,              0.0091882,              0.0091882,              0.0091882
                     43,                0.71579,                0.49489,                 1.1046,                0.75764,                0.71389,                0.75033,                0.43718,                 1.6036,                 1.1231,                 1.8318,              0.0091684,              0.0091684,              0.0091684
                     44,                0.70673,                   0.49,                 1.1001,                0.80366,                0.66074,                 0.7552,                 0.4663,                 1.5342,                 1.1205,                 1.7718,              0.0091486,              0.0091486,              0.0091486
                     45,                0.70061,                0.49965,                 1.0975,                0.80531,                0.66239,                0.73645,                0.44782,                  1.593,                 1.2126,                 1.8463,              0.0091288,              0.0091288,              0.0091288
                     46,                0.69577,                0.49088,                 1.1009,                0.76954,                 0.7197,                0.75359,                0.44988,                 1.6074,                 1.0589,                 1.8573,               0.009109,               0.009109,               0.009109
                     47,                0.69607,                0.48678,                 1.0986,                0.74802,                0.63355,                0.67371,                0.41965,                 1.6477,                 1.3107,                 1.8666,              0.0090892,              0.0090892,              0.0090892
                     48,                 0.6959,                0.49592,                 1.0975,                0.78303,                0.66934,                0.72081,                0.44147,                 1.6171,                 1.1611,                 1.8631,              0.0090694,              0.0090694,              0.0090694
                     49,                0.68476,                 0.4742,                 1.0873,                0.81163,                0.62224,                0.69768,                0.41684,                 1.6186,                 1.4755,                 1.8557,              0.0090496,              0.0090496,              0.0090496
                     50,                 0.6859,                0.48605,                 1.0975,                0.78511,                0.67181,                0.74527,                0.43902,                 1.5882,                 1.1218,                 1.8454,              0.0090298,              0.0090298,              0.0090298
                     51,                0.68107,                0.47081,                 1.0888,                0.74721,                0.62157,                0.66279,                0.40569,                 1.6637,                  1.455,                 1.9033,                0.00901,                0.00901,                0.00901
                     52,                0.67277,                0.46678,                 1.0815,                0.82538,                0.58013,                0.68689,                0.43548,                 1.5888,                 1.4728,                 1.8134,              0.0089902,              0.0089902,              0.0089902
                     53,                0.67216,                0.46905,                 1.0844,                0.78204,                0.66894,                 0.7254,                0.43384,                 1.5777,                 1.2145,                 1.8378,              0.0089704,              0.0089704,              0.0089704
                     54,                0.67752,                0.47386,                 1.0884,                0.86371,                0.71688,                0.79651,                0.47033,                 1.5104,                0.94139,                 1.7594,              0.0089506,              0.0089506,              0.0089506
                     55,                0.66368,                0.46212,                 1.0761,                0.71235,                0.69388,                0.70103,                0.42255,                 1.6058,                 1.1917,                 1.8534,              0.0089308,              0.0089308,              0.0089308
                     56,                0.66329,                0.45846,                 1.0798,                0.78515,                0.69023,                 0.7478,                0.46964,                  1.516,                 1.1342,                 1.7706,               0.008911,               0.008911,               0.008911
                     57,                0.65678,                0.46109,                 1.0781,                0.73605,                0.63692,                 0.6877,                0.42973,                 1.6133,                 1.3363,                 1.8557,              0.0088912,              0.0088912,              0.0088912
                     58,                 0.6598,                0.45698,                 1.0774,                0.73171,                0.68833,                 0.7453,                0.46134,                 1.4832,                 1.1416,                 1.7263,              0.0088714,              0.0088714,              0.0088714
                     59,                 0.6447,                0.44343,                 1.0716,                0.79049,                0.64629,                0.72845,                0.43548,                 1.5624,                  1.241,                  1.807,              0.0088516,              0.0088516,              0.0088516
                     60,                0.64503,                0.44441,                 1.0696,                0.82608,                0.61508,                0.68482,                0.42543,                 1.6107,                 1.4303,                 1.8638,              0.0088318,              0.0088318,              0.0088318
                     61,                0.65066,                0.45221,                 1.0736,                0.83144,                0.69269,                0.76885,                0.48419,                 1.4895,                 1.1006,                 1.6996,               0.008812,               0.008812,               0.008812
                     62,                0.63825,                 0.4411,                 1.0646,                0.74776,                0.59448,                0.64058,                0.41391,                 1.6567,                 1.7724,                 1.8806,              0.0087922,              0.0087922,              0.0087922
                     63,                0.64812,                0.44622,                 1.0733,                0.76245,                0.67413,                0.70627,                0.43689,                 1.6125,                 1.2549,                 1.8363,              0.0087724,              0.0087724,              0.0087724
                     64,                 0.6386,                0.44373,                  1.065,                 0.7621,                0.61975,                0.68301,                0.42758,                 1.6215,                 1.3923,                 1.8462,              0.0087526,              0.0087526,              0.0087526
                     65,                0.63434,                0.43845,                 1.0672,                0.83692,                0.57783,                0.66467,                0.41438,                 1.6492,                 1.6365,                 1.8891,              0.0087328,              0.0087328,              0.0087328
                     66,                 0.6363,                0.43811,                 1.0657,                0.83774,                0.65799,                0.74803,                0.45949,                 1.5205,                 1.1212,                 1.7661,               0.008713,               0.008713,               0.008713
                     67,                0.62003,                0.43135,                 1.0562,                0.87858,                0.66088,                  0.753,                0.48955,                 1.4383,                 1.1983,                 1.6929,              0.0086932,              0.0086932,              0.0086932
                     68,                0.62478,                0.42792,                 1.0559,                0.81976,                0.68615,                0.76166,                0.47298,                 1.5035,                 1.1974,                 1.7997,              0.0086734,              0.0086734,              0.0086734
                     69,                0.61391,                 0.4196,                 1.0476,                0.81548,                0.70062,                0.75543,                0.48271,                 1.5185,                 1.1083,                 1.7873,              0.0086536,              0.0086536,              0.0086536
                     70,                0.62519,                0.42563,                 1.0592,                0.71587,                0.67363,                0.69223,                0.43281,                  1.599,                 1.2879,                 1.8679,              0.0086338,              0.0086338,              0.0086338
                     71,                0.61588,                0.42343,                 1.0529,                0.76255,                0.65499,                0.71267,                0.46007,                 1.5443,                 1.3317,                  1.783,               0.008614,               0.008614,               0.008614
                     72,                0.61576,                0.42074,                 1.0544,                  0.751,                0.65206,                0.67981,                 0.4477,                  1.547,                 1.5684,                 1.8189,              0.0085942,              0.0085942,              0.0085942
                     73,                0.62187,                 0.4244,                 1.0516,                0.77485,                0.60796,                0.66274,                0.43098,                 1.5962,                 1.4631,                 1.8218,              0.0085744,              0.0085744,              0.0085744
                     74,                0.61233,                0.41724,                 1.0459,                0.78863,                0.64306,                0.70719,                 0.4542,                 1.5415,                 1.2262,                 1.8226,              0.0085546,              0.0085546,              0.0085546
                     75,                0.61245,                0.41787,                 1.0532,                0.78175,                0.66973,                0.71624,                0.44161,                 1.6023,                  1.153,                 1.8614,              0.0085348,              0.0085348,              0.0085348
                     76,                0.60574,                0.41774,                 1.0474,                0.81361,                0.68559,                 0.7502,                0.46356,                 1.5674,                 1.1906,                 1.8271,               0.008515,               0.008515,               0.008515
                     77,                0.60922,                0.41676,                 1.0499,                0.79074,                0.68149,                0.73126,                0.45027,                 1.5694,                 1.1464,                 1.8419,              0.0084952,              0.0084952,              0.0084952
                     78,                0.60328,                0.41695,                 1.0449,                0.79783,                0.66538,                0.73488,                0.45439,                 1.5636,                 1.1025,                 1.8276,              0.0084754,              0.0084754,              0.0084754
                     79,                0.60615,                 0.4203,                 1.0485,                0.74978,                0.71092,                0.75778,                 0.4715,                 1.5242,                 1.1253,                 1.7895,              0.0084556,              0.0084556,              0.0084556
                     80,                0.60644,                0.41353,                 1.0474,                0.79112,                0.63544,                0.69735,                0.43291,                  1.613,                 1.3545,                  1.889,              0.0084358,              0.0084358,              0.0084358
